driverId,grid,source_url,published_at,grid_status
russell,1,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
leclerc,2,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
piastri,3,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
hadjar,4,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
norris,5,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
hamilton,6,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
gasly,7,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
max_verstappen,8,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
sainz,9,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
colapinto,10,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
bearman,11,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
lawson,12,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
albon,13,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
ocon,14,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
arvid_lindblad,15,https://www.formula1.com/en/latest/article/alonso-and-stroll-set-for-grid-penalties-at-azerbaijan-gp-after-taking-new-engine-components.2uOl7HZHamxmaUqjOxejAF,2026-09-25T13:23:00Z,Derived provisional grid: workbook qualifying plus documented Aston Martin back-of-grid penalties; final FIA grid and pending investigations unconfirmed
